Raza,"Altura, cm","Peso, kg","Inteligencia, %","Coste total, €","Vida promedio, años",Nº Enfermedades graves,"Coste anual promedio, €"
Husky Siberiano,55,22,45,16470,12.58,0,1309
Dachshund,24,11,37,15006,12.63,2,1188
Schnauzer Miniatura,33,7,87,14489,11.81,2,1226
Chihuahua,13,2,16,19581,16.5,1,1186
Springer Spaniel Inglés,50,20,86,16389,12.54,4,1306
Caniche,41,25,99,15898,11.95,2,1330
Braco Alemán de pelo corto,61,28,84,18032,11.46,1,1573
Labrador Retriever,58,31,93,15933,12.04,3,1323
Bichón Maltés,23,2,25,13901,12.25,1,1134
Pomerania,24,2,77,11829,9.67,1,1223
Golden Retriever,58,27,97,16062,12.04,4,1334
Beagle,36,12,9,14510,12.3,1,1179
Setter Inglés,62,43,56,15177,11.57,2,1311
Doberman Pinscher,66,34,95,13776,10.33,4,1333
Cavalier King Charles Spaniel,32,7,48,13984,11.29,2,1238
Rottweiler,62,45,91,14180,9.11,3,1556
Pastor Alemán,61,31,98,13052,9.73,8,1341
Bulldog Francés,30,12,28,13073,9.0,0,1452
Gran Danés,76,54,39,11035,6.96,4,1585
Bulldog,36,20,3,10358,6.29,5,1646
